Sample Number	Number of Counts
1	8
2	14
3	11
4	9
5	10
6	11
7	8
8	12
9	9
10	9
11	9
12	12
13	5
14	8
15	14
16	11
17	11
18	16
19	16
20	11
21	10
22	8
23	10
24	9
25	12
26	4
27	16
28	13
29	18
30	14
31	11
32	12
33	13
34	14
35	8
36	9
37	7
38	16
39	16
40	8
41	9
42	11
43	13
44	7
45	10
46	14
47	13
48	13
49	5
50	9
51	10
52	14
53	15
54	7
55	17
56	21
57	12
58	8
59	7
60	13
61	14
62	9
63	11
64	10
65	10
66	11
67	10
68	10
69	9
70	11
71	10
72	7
73	10
74	15
75	8
76	3
77	10
78	11
79	12
80	7
81	12
82	13
83	12
84	7
85	5
86	10
87	5
88	11
89	11
90	8
91	10
92	10
93	3
94	12
95	11
96	9
97	12
98	8
99	13
100	12
101	8
102	15
103	13
104	16
105	9
106	8
107	17
108	15
109	9
110	7
111	6
112	12
113	20
114	9
115	12
116	9
117	7
118	12
119	12
120	5
