Sample Number	Number of Counts
225	51
226	40
227	44
228	55
229	32
230	64
231	48
232	49
233	45
234	48
235	53
236	36
237	44
238	36
239	42
240	44
241	46
242	49
243	45
244	37
245	45
246	43
247	47
248	43
249	39
250	31
251	42
252	30
253	40
254	26
255	38
256	43
257	31
258	38
259	42
260	43
261	46
262	47
263	42
264	40
265	26
266	28
267	34
268	46
269	44
270	37
271	40
272	46
273	52
274	39
275	38
276	37
277	34
278	36
279	38
280	40
281	29
282	34
283	30
284	37
285	43
286	35
287	25
288	33
289	25
290	30
291	34
292	25
293	33
294	31
295	32
296	25
297	28
298	20
299	35
300	36
301	28
302	37
303	33
304	36
305	29
306	37
307	32
308	22
309	33
310	29
311	36
312	35
313	36
314	24
315	27
316	29
317	23
318	34
319	32
320	36
321	37
322	30
323	23
324	28
325	37
326	30
327	32
328	32
329	39
330	20
331	29
332	36
333	22
334	22
335	30
336	22
337	28
338	23
339	25
340	27
341	31
342	31
343	26
344	24
345	40
346	22
347	29
348	27
349	25
350	23
351	28
352	25
353	24
354	27
355	35
356	27
357	20
358	26
359	29
360	22
