Sample Number	Number of Counts
1	167
2	134
3	166
4	161
5	174
6	174
7	160
8	153
9	168
10	148
11	179
12	164
13	160
14	164
15	153
16	139
17	161
18	156
19	147
20	158
21	138
22	172
23	140
24	152
25	134
26	155
27	135
28	133
29	132
30	138
31	132
32	132
33	134
34	156
35	135
36	149
37	148
38	156
39	146
40	125
41	142
42	124
43	136
44	144
45	150
46	145
47	131
48	137
49	124
50	127
51	124
52	138
53	148
54	142
55	111
56	131
57	124
58	124
59	111
60	122
61	141
62	136
63	123
64	112
65	142
66	120
67	124
68	140
69	122
70	123
71	97
72	124
73	116
74	114
75	116
76	136
77	104
78	104
79	115
80	127
81	121
82	102
83	132
84	122
85	99
86	113
87	102
88	103
89	121
90	94
91	99
92	82
93	102
94	83
95	86
96	116
97	88
98	92
99	92
100	111
101	92
102	90
103	114
104	95
105	84
106	92
107	82
108	88
109	95
110	103
111	103
112	91
113	96
114	91
115	87
116	100
117	85
118	78
119	90
120	86
121	80
122	94
123	72
124	92
125	78
126	81
127	97
128	87
129	83
130	92
131	90
132	65
133	80
134	62
135	85
136	86
137	70
138	71
139	64
140	72
141	81
142	76
143	72
144	89
145	83
146	76
147	60
148	68
149	77
150	81
151	69
152	87
153	65
154	62
155	66
156	88
157	77
158	62
159	58
160	75
161	87
162	75
163	67
164	72
165	74
166	79
167	67
168	64
169	55
170	62
171	67
172	65
173	68
174	59
175	76
176	83
177	62
178	66
179	54
180	60
181	59
182	59
183	60
184	67
185	67
186	63
187	74
188	65
189	56
190	56
191	57
192	53
193	65
194	52
195	47
196	51
197	52
198	45
199	52
200	51
201	55
202	40
203	54
204	41
205	59
206	46
207	50
208	44
209	56
210	58
211	50
212	65
213	56
214	50
215	49
216	47
217	45
218	51
219	43
220	49
221	41
222	40
223	42
224	59
225	51
226	40
227	44
228	55
229	32
230	64
231	48
232	49
233	45
234	48
235	53
236	36
237	44
238	36
239	42
240	44
241	46
242	49
243	45
244	37
245	45
246	43
247	47
248	43
249	39
250	31
251	42
252	30
253	40
254	26
255	38
256	43
257	31
258	38
259	42
260	43
261	46
262	47
263	42
264	40
265	26
266	28
267	34
268	46
269	44
270	37
271	40
272	46
273	52
274	39
275	38
276	37
277	34
278	36
279	38
280	40
281	29
282	34
283	30
284	37
285	43
286	35
287	25
288	33
289	25
290	30
291	34
292	25
293	33
294	31
295	32
296	25
297	28
298	20
299	35
300	36
301	28
302	37
303	33
304	36
305	29
306	37
307	32
308	22
309	33
310	29
311	36
312	35
313	36
314	24
315	27
316	29
317	23
318	34
319	32
320	36
321	37
322	30
323	23
324	28
325	37
326	30
327	32
328	32
329	39
330	20
331	29
332	36
333	22
334	22
335	30
336	22
337	28
338	23
339	25
340	27
341	31
342	31
343	26
344	24
345	40
346	22
347	29
348	27
349	25
350	23
351	28
352	25
353	24
354	27
355	35
356	27
357	20
358	26
359	29
360	22
